,nombre_estacion,stop_lat,stop_lon,primera_estacion,segunda_estacion,tercera_estacion,cuarta_estacion
175,Camarones,19.47873042,-99.18894768,Metro 7,Ninguna,Ninguna,Ninguna
176,Salto del Agua_1,19.42698509,-99.14331794,Metro 1,Metro 8,Ninguna,Ninguna
177,San Pedro de Los Pinos,19.39122414,-99.18572903,Metro 7,Ninguna,Ninguna,Ninguna
178,R. Flores Magón,19.43628327,-99.10342813,Metro B,Ninguna,Ninguna,Ninguna
179,Tlaltenco,19.294555,-99.023829,Metro 12,Ninguna,Ninguna,Ninguna
180,Iztapalapa,19.35760127,-99.09341812,Metro 8,Ninguna,Ninguna,Ninguna
181,Insurgentes Sur_1,19.37360387,-99.17859435,Metro 12,Ninguna,Ninguna,Ninguna
182,Bellas Artes_1,19.43649573,-99.14061427,Metro 8,Metro 2,Ninguna,Ninguna
183,Revolución_1,19.43880248,-99.15389657,Metro 2,Ninguna,Ninguna,Ninguna
184,Obrera,19.41301153,-99.14392948,Metro 8,Ninguna,Ninguna,Ninguna
185,Plaza Aragón,19.52822456,-99.02979612,Metro B,Ninguna,Ninguna,Ninguna
186,Peñón Viejo,19.37291562,-99.0172863,Metro A,Ninguna,Ninguna,Ninguna
187,Garibaldi,19.443376,-99.139954,Metro B,Metro 8,Ninguna,Ninguna
188,División del Norte,19.3789276,-99.15950775,Metro 3,Ninguna,Ninguna,Ninguna
189,Isabel la Católica_1_5,19.4260947,-99.13782477,Metro 1,Ninguna,Ninguna,Ninguna
190,Merced,19.42546738,-99.12541151,Metro 1,Ninguna,Ninguna,Ninguna
191,Normal,19.44424548,-99.1671896,Metro 2,Ninguna,Ninguna,Ninguna
192,Tacubaya_1_2,19.40223457,-99.18664098,Metro 7,Metro 1,Metro 9,Ninguna
193,Tacubaya_1_3,19.40192086,-99.18734908,Metro 9,Metro 1,Metro 7,Ninguna
194,Zapata,19.37073951,-99.1645503,Metro 3,Metro 1,Ninguna,Ninguna
