,nombre_estacion,primera_linea,segunda_linea,tercera_linea,cuarta_linea,calif_estacion,ranking_estacion,colonia,calif_colonia,ranking_colonia,stop_lat,stop_lon,afluencia_promedio
32,Lindavista,Metro 6,Ninguna,Ninguna,Ninguna,98.89,19,Magdalena De Las Salinas,91.5,1013,19.4875806,-99.13434863,16747
33,R. Flores Magón,Metro B,Ninguna,Ninguna,Ninguna,98.89,20,Progresista,87.78,1447,19.43628327,-99.10342813,No Disponible
34,Doctores,Metro 8,Ninguna,Ninguna,Ninguna,98.89,21,Obrera,83.56,1586,19.42049932,-99.14335012,12124
35,Terminal Aérea,Metro 5,Ninguna,Ninguna,Ninguna,98.89,22,Moctezuma 2A Sección,86.49,1506,19.43380448,-99.08820391,16235
36,Instituto del Petróleo_1,Metro 6,Metro 5,Ninguna,Ninguna,98.89,23,Nueva Vallejo,91.84,964,19.48983606,-99.14455175,No Disponible
37,Ferrería,Metro 6,Ninguna,Ninguna,Ninguna,98.89,24,Santa Catarina,91.54,1004,19.49039233,-99.173702,21830
38,Tepito,Metro B,Ninguna,Ninguna,Ninguna,98.61,25,Morelos,76.6,1614,19.44256606,-99.12323356,22876
39,Morelos_1_2,Metro B,Metro 4,Ninguna,Ninguna,98.61,26,Centro,25.73,1627,19.438426,-99.11933,6447
40,Martín Carrera_1_2,Metro 6,Metro 4,Ninguna,Ninguna,98.61,27,Ampliación Casas Alemán,87.22,1472,19.48231101,-99.10554171,25986
41,Acatitla,Metro A,Ninguna,Ninguna,Ninguna,98.61,28,Santa Maria Aztahuacan,86.89,1489,19.3642515,-99.00597811,14331
42,Colegio Militar,Metro 2,Ninguna,Ninguna,Ninguna,98.61,29,Anahuac,83.02,1592,19.44864628,-99.17122364,16190
43,Eje Central_1_3,Metro 12,Ninguna,Ninguna,Ninguna,98.61,30,Del Carmen,85.8,1531,19.36118453,-99.15133238,6109
44,Chabacano_1,Metro 8,Metro 2,Metro 9,Ninguna,98.61,31,Algarin,92.5,848,19.40853892,-99.13574338,14537
45,San Andrés Tomatlán,Metro 12,Ninguna,Ninguna,Ninguna,98.61,32,Santa María Tomatlán,90.3,1176,19.3272315,-99.10259128,5426
46,Santa Anita_1,Metro 4,Metro 8,Ninguna,Ninguna,98.61,33,La Cruz Coyuya,93.12,730,19.40425847,-99.12120581,5043
47,Refinería,Metro 7,Ninguna,Ninguna,Ninguna,98.61,34,Angel Zimbron,91.51,1010,19.46911098,-99.18985963,10071
48,Nopalera,Metro 12,Ninguna,Ninguna,Ninguna,98.61,35,La Nopalera,88.75,1374,19.29939771,-99.04621124,9287
49,Canal de San Juan_1_3,Metro A,Ninguna,Ninguna,Ninguna,98.34,36,Leyes De Reforma 3A Sección,85.69,1535,19.39821706,-99.05969739,12841
50,Deportivo 18 de Marzo_1_4,Metro 6,Metro 3,Ninguna,Ninguna,98.34,37,Tepeyac Insurgentes,89.24,1321,19.48358544,-99.12576556,No Disponible
51,Consulado_1,Metro 5,Metro 4,Ninguna,Ninguna,98.34,38,La Joya,90.98,1089,19.455485,-99.11348104,4804
52,Norte 45_1,Metro 6,Ninguna,Ninguna,Ninguna,98.34,39,Victoria De Las Democracias,93.01,743,19.48823803,-99.16249037,No Disponible
53,Peñón Viejo,Metro A,Ninguna,Ninguna,Ninguna,98.34,40,Ejercito De Agua Prieta,89.45,1291,19.37291562,-99.0172863,12949
